Subject,Assignment,Time Due,Due Date,Weight,Type,
INST 335,Class bio post,11:59pm,2020-09-02,0.25,Discussion,
INST 335,Case study 1,11:59pm,2020-09-14,0.30,Written,
INST 335,Case study 2,11:59pm,2020-09-28,0.30,Written,
INST 335,Case study 3,11:59pm,2020-10-12,0.30,Written,
INST 335,Case study 4,11:59pm,2020-11-30,0.30,Written,
INST 335,Discussion post,11:59pm,2020-09-09,0.25,Discussion,
INST 335,Discussion post,11:59pm,2020-09-16,0.25,Discussion,
INST 335,Discussion post,11:59pm,2020-09-23,0.25,Discussion,
INST 335,Discussion post,11:59pm,2020-09-30,0.25,Discussion,
INST 335,Discussion post,11:59pm,2020-10-07,0.25,Discussion,
INST 335,Discussion post,11:59pm,2020-10-14,0.25,Discussion,
INST 335,Discussion post,11:59pm,2020-10-21,0.25,Discussion,
INST 335,Discussion post,11:59pm,2020-10-28,0.25,Discussion,
INST 335,Discussion post,11:59pm,2020-11-04,0.25,Discussion,
INST 335,Discussion post,11:59pm,2020-11-11,0.25,Discussion,
INST 335,Discussion post,11:59pm,2020-11-18,0.25,Discussion,
INST 335,Discussion post,11:59pm,2020-12-02,0.25,Discussion,
INST 335,One-page proposal,11:59pm,2020-10-26,0.30,Project,
INST 335,Project Paper,11:59pm,2020-12-09,0.25,Project,
INST 335,Midterm,11:59pm,2020-10-19,0.20,Exam,
INST 335,Final,11:59pm,2020-12-16,0.20,Exam,
INST 311,HW1,11:59pm,2020-09-16,0.25,Written,
INST 311,HW2,11:59pm,2020-09-30,0.25,Written,
INST 311,HW3,11:59pm,2020-10-07,0.25,Written,
INST 311,HW4,11:59pm,2020-11-11,0.25,Written,
INST 311,Draft 1,11:59pm,2020-10-08,0.25,Project,
INST 311,Draft 2,11:59pm,2020-11-12,0.25,Project,
INST 311,Draft 3,11:59pm,2020-11-25,0.25,Project,
INST 311,Group Project Paper,11:59pm,2020-12-03,0.25,Project,
INST 311,Module 1 Review Activities,11:59pm,2020-12-03,0.25,Quizzes,
INST 311,Module 2 Review Activities,11:59pm,2020-12-03,0.25,Quizzes,
INST 311,Midterm,11:59pm,2020-10-18,0.25,Exam,
INST 311,Final,11:59pm,2020-12-14,0.25,Exam,
INST 301,Introductory Assignment,11:59pm,2020-09-06,0.04,Discussion,
INST 301,Content Quiz 1,11:59pm,2020-09-13,0.35,Quizzes,
INST 301,Content Quiz 2,11:59pm,2020-09-20,0.35,Quizzes,
INST 301,Content Quiz 3,11:59pm,2020-09-27,0.35,Quizzes,
INST 301,Content Quiz 4,11:59pm,2020-10-04,0.35,Quizzes,
INST 301,Content Quiz 5,11:59pm,2020-10-11,0.35,Quizzes,
INST 301,Content Quiz 6,11:59pm,2020-10-18,0.35,Quizzes,
INST 301,Content Quiz 7,11:59pm,2020-10-25,0.35,Quizzes,
INST 301,Content Quiz 8,11:59pm,2020-11-01,0.35,Quizzes,
INST 301,Content Quiz 9,11:59pm,2020-11-08,0.35,Quizzes,
INST 301,Content Quiz 10,11:59pm,2020-11-15,0.35,Quizzes,
INST 301,News Article Presentation,11:59pm,2020-10-07,0.10,Discussion,
INST 301,News Article Responses 1,11:59pm,2020-09-20,0.16,Discussion,
INST 301,News Article Responses 2,11:59pm,2020-09-27,0.16,Discussion,
INST 301,News Article Responses 3,11:59pm,2020-10-11,0.16,Discussion,
INST 301,News Article Responses 4,11:59pm,2020-10-18,0.16,Discussion,
INST 301,News Article Responses 5,11:59pm,2020-11-01,0.16,Discussion,
INST 301,News Article Responses 6,11:59pm,2020-11-08,0.16,Discussion,
INST 301,News Article Responses 7,11:59pm,2020-11-15,0.16,Discussion,
INST 301,News Article Responses 8,11:59pm,2020-11-22,0.16,Discussion,
INST 301,ILAR 1,11:59pm,2020-09-13,0.16,Written,
INST 301,ILAR 2,11:59pm,2020-10-04,0.16,Written,
INST 301,ILAR 3,11:59pm,2020-10-25,0.16,Written,
INST 301,ILAR 4,11:59pm,2020-11-22,0.16,Written,
INST 301,Final Reflection,11:59pm,2020-12-13,0.04,Written,
INST 301,Meme Project Ideas,11:59pm,2020-11-08,0.15,Project,
INST 301,Meme Project Peer Feedback,11:59pm,2020-11-29,0.15,Project,
INST 301,Meme Project Final,11:59pm,2020-12-06,0.15,Project,
INST 326,Comprehension Check 1,11:59pm,2020-09-12,0.10,Quizzes,
INST 326,Comprehension Check 2,11:59pm,2020-09-18,0.10,Quizzes,
INST 326,Comprehension Check 3,11:59pm,2020-09-25,0.10,Quizzes,
INST 326,Comprehension Check 4,11:59pm,2020-10-02,0.10,Quizzes,
INST 326,Comprehension Check 5,11:59pm,2020-10-09,0.10,Quizzes,
INST 326,Comprehension Check 6,11:59pm,2020-10-16,0.10,Quizzes,
INST 326,Comprehension Check 7,11:59pm,2020-10-23,0.10,Quizzes,
INST 326,Comprehension Check 8,11:59pm,2020-11-01,0.10,Quizzes,
INST 326,Comprehension Check 9,11:59pm,2020-11-08,0.10,Quizzes,
INST 326,Comprehension Check 10,11:59pm,2020-11-22,0.10,Quizzes,
INST 326,Comprehension Check 11,11:59pm,2020-11-22,0.10,Quizzes,
INST 326,Comprehension Check 12,11:59pm,2020-12-04,0.10,Quizzes,
INST 326,Exercise 0,11:59pm,2020-09-06,0.10,Homework,
INST 326,Exercise 1,11:59pm,2020-09-16,0.10,Homework,
INST 326,Exercise 2,11:59pm,2020-09-23,0.10,Homework,
INST 326,Exercise 3,11:59pm,2020-09-30,0.10,Homework,
INST 326,Exercise 4,11:59pm,2020-10-07,0.10,Homework,
INST 326,Exercise 5,11:59pm,2020-10-14,0.10,Homework,
INST 326,Exercise 6,11:59pm,2020-10-23,0.10,Homework,
INST 326,Exercise 7,11:59pm,2020-11-04,0.10,Homework,
INST 326,Exercise 8,11:59pm,2020-11-11,0.10,Homework,
INST 326,Exercise 9,11:59pm,2020-11-30,0.10,Homework,
INST 326,Exercise 10,11:59pm,2020-11-30,0.10,Homework,
INST 326,Homework 1,11:59pm,2020-09-27,0.30,Homework,
INST 326,Homework 2,11:59pm,2020-10-18,0.30,Homework,
INST 326,Homework 3,11:59pm,2020-11-08,0.30,Homework,
INST 326,Homework 4,11:59pm,2020-12-13,0.30,Homework,
INST 326,Quiz 1,11:59pm,2020-10-18,0.10,Quizzes,
INST 326,Quiz 2,11:59pm,2020-11-15,0.10,Quizzes,
INST 326,Critical Perspective 1,11:59pm,2020-11-06,0.10,Written,
INST 326,Critical Perspective 2,11:59pm,2020-12-13,0.10,Written,
INST 326,Final Project Proposal,11:59pm,2020-10-21,0.30,Project,
INST 326,Final Project - Check In 1,11:59pm,2020-11-14,0.30,Project,
INST 326,Final Project - Check In 2,11:59pm,2020-12-04,0.30,Project,
INST 326,Final Project Presentation,11:59pm,2020-12-17,0.30,Project,
INST 326,Final Project Complete,11:59pm,2020-12-21,0.30,Project,
INST 314,R Lab 1,11:59pm,2020-09-07,0.15,Homework,
INST 314,R Lab 2,11:59pm,2020-09-22,0.15,Homework,
INST 314,R Lab 3,11:59pm,2020-10-12,0.15,Homework,
INST 314,R Lab 4,11:59pm,2020-11-20,0.15,Homework,
INST 314,R Lab 5,11:59pm,2020-11-25,0.15,Homework,
INST 314,Quiz 1,11:59pm,2020-09-24,0.10,Quizzes,
INST 314,Quiz 2,11:59pm,2020-10-15,0.10,Quizzes,
INST 314,Quiz 3,9:30am,2020-12-03,0.10,Quizzes,
INST 314,Discussion 1,11:59pm,2020-09-14,0.10,Discussion,
INST 314,Discussion 2,11:59pm,2020-09-28,0.10,Discussion,
INST 314,Discussion 3,11:59pm,2020-10-19,0.10,Discussion,
INST 314,Unit Project 1,11:59pm,2020-10-05,0.25,Project,
INST 314,Unit Project 2,11:59pm,2020-11-02,0.25,Project,
INST 314,Unit Project 3,11:59pm,2020-12-10,0.25,Project,
INST 314,Midterm,3:00pm,2020-10-30,0.40,Exam,
INST 314,Final,10:00am,2020-12-17,0.40,Exam,